匿名代碼,學期,平台_上學期,附件數_上學期,狀態_上學期,抓取限制,媒體豐富度(1-4)_上學期,排版架構(1-4)_上學期,總字數_上學期,專有名詞出現次數,專有名詞密度(次/千字)_上學期,批判思考佔比(%)_上學期,反思評量方法,img數,互動元件數,互動標籤,進階腳本,動態API,命中專有名詞,平台_下學期,媒體豐富度(1-4)_下學期,排版架構(1-4)_下學期,總字數_下學期,專有名詞密度(次/千字)_下學期,批判思考佔比(%)_下學期,附件數_下學期,狀態_下學期,媒體_變化,排版_變化,字數_變化,術語密度_變化,批判思考_變化,比較信度,限制原因
S022,Geophysics_2025_final,GitHub Pages,1,ok,,2,3,1876,35,18.66,0.0,heuristic,5,0,,False,False,地球物理×2; 重力異常×1; 地震波×2; 直達波×1; 地震學×1; 折射波×1; 震波×3; 走時×1; 地震×12; 波速×2; 折射×2; 板塊×4; 截時×1; 地層×2,GitHub Pages,4,3,6802,9.11,18.2,4,ok,2,0,4926,-9.55,18.2,高,
S006,Geophysics_2025_final,Gemini,0,limited,gemini_login_wall,4,2,56,0,0.0,0.0,heuristic,0,2,"iframe,svg",True,False,,Hugging Face Space,4,2,6902,19.85,17.2,2,ok,0,0,6846,19.85,17.2,受限,gemini_login_wall
S003,Geophysics_2025_final,GitHub Pages,1,ok,,2,3,2185,51,23.34,5.4,heuristic,5,0,,False,False,refraction×1; 地球物理×8; 重力異常×1; 直達波×1; 地震學×1; 折射波×2; 司乃耳×1; 震波×1; 走時×2; 地函×1; 地震×9; 斷層×1; 波速×3; 介質×1; 震源×1; 折射×5; 板塊×6; 地質×2; 地層×2; 防災×2,GitHub Pages,2,3,4315,15.99,15.0,2,ok,0,0,2130,-7.35,9.6,高,
S016,Geophysics_2025_final,GitHub Pages,2,ok,,2,3,3073,69,22.45,5.4,heuristic,6,0,,False,False,地球物理×6; 重力異常×3; 直達波×3; 走時圖×5; 折射波×3; 走時×9; 地震×14; 波速×1; 震源×4; 折射×3; 板塊×15; 地質×1; 地層×2,GitHub Pages,4,3,2527,15.43,9.4,2,ok,2,0,-546,-7.02,4.0,高,
S010,Geophysics_2025_final,GitHub Pages,1,ok,,1,3,462,13,28.14,0.0,heuristic,0,0,,False,False,地球物理×6; 地震波×1; 震波×1; 地震×2; 折射×1; 板塊×1; 地質×1,GitHub Pages,4,2,1808,27.1,4.8,6,ok,3,-1,1346,-1.0399999999999991,4.8,高,
S013,Geophysics_2025_final,GitHub Pages,0,ok,,3,2,142,2,14.08,0.0,heuristic,0,1,canvas,False,False,地球物理×2,GitHub Pages,3,3,5195,18.09,21.4,2,ok,0,1,5053,4.01,21.4,低（上學期頁面過短）,upper_static_text_below_400
S002,Geophysics_2025_final,GitHub Pages,0,ok,,1,3,1291,25,19.36,11.1,heuristic,0,0,,False,False,地球物理×3; 地震波×2; 地震學×2; 折射波×1; 震波×2; 走時×1; 地震×8; 波速×1; 折射×2; 板塊×2; 地質×1,GitHub Pages,4,3,1588,41.56,9.1,2,ok,3,0,297,22.200000000000003,-2.0,高,
S009,Geophysics_2025_final,GitHub Pages,1,limited,spa_js_bundle,1,2,22,0,0.0,0.0,too_short,0,0,,False,False,,Hugging Face Space,4,3,1218,28.74,16.7,4,ok,3,1,1196,28.74,16.7,受限,spa_js_bundle
S014,Geophysics_2025_final,Gemini,1,limited,gemini_login_wall,4,2,56,0,0.0,0.0,heuristic,0,2,"iframe,svg",True,False,,Hugging Face Space,4,3,6066,16.32,11.1,2,ok,0,1,6010,16.32,11.1,受限,gemini_login_wall
S021,Geophysics_2025_final,Streamlit,0,limited,streamlit_js_shell,1,2,0,0,0.0,0.0,too_short,0,0,,False,False,,GitHub Pages,3,3,507,51.28,12.5,2,ok,2,1,507,51.28,12.5,受限,streamlit_js_shell
S011,Geophysics_2025_final,GitHub Pages,0,ok,,4,3,4859,62,12.76,30.4,heuristic,13,4,iframe,False,False,refraction×1; seismic×1; 地球物理×6; 重力異常×1; 地震波×2; 直達波×2; 地震學×1; 折射波×3; 震波×3; 走時×1; 地函×1; 地震×12; 斷層×3; 波速×3; 震源×2; 折射×5; 板塊×10; 地質×2; 防災×3,Hugging Face Space,4,3,5087,26.54,4.3,2,ok,0,0,228,13.78,-26.099999999999998,高,
S007,Geophysics_2025_final,GitHub Pages,0,ok,,1,3,817,17,20.81,0.0,heuristic,0,0,,False,False,地球物理×5; 地震學×1; 地震×3; 折射×2; 板塊×4; 地質×1; 地層×1,GitHub Pages,2,3,4053,42.68,16.7,0,ok,1,0,3236,21.87,16.7,高,
S017,Geophysics_2025_final,GitHub Pages,1,ok,,1,3,1301,37,28.44,0.0,heuristic,0,0,,False,False,地球物理×5; 重力異常×2; 地震波×2; 地震學×1; 震波×2; 地震×9; 折射×6; 板塊×9; 地質×1,GitHub Pages,4,3,3361,31.54,8.3,2,ok,3,0,2060,3.099999999999998,8.3,高,
