匿名代碼,學期,平台,附件數,狀態,抓取限制,媒體豐富度(1-4),排版架構(1-4),總字數,專有名詞出現次數,專有名詞密度(次/千字),批判思考佔比(%),反思評量方法,img數,互動元件數,互動標籤,進階腳本,動態API,命中專有名詞
S019,Geophysics_2025_final,GitHub Pages,0,ok,,1,3,777,16,20.59,10.0,heuristic,0,0,,False,False,地球物理×6; 重力異常×1; 地震學×1; 地震×1; 折射×3; 板塊×2; 地質×1; 防災×1
S025,Geophysics_2025_final,GitHub Pages,2,ok,,4,3,2171,42,19.35,10.3,heuristic,3,4,iframe,False,False,地球物理×6; 重力異常×2; 地震波×3; 地震學×2; 司乃耳×1; 震波×5; 走時×1; 地震×9; 波速×1; 介質×1; 折射×4; 板塊×5; 地質×1; 地層×1
S008,Geophysics_2025_final,GitHub Pages,0,ok,,1,3,967,25,25.85,0.0,heuristic,0,0,,False,False,地球物理×7; 地震波×1; 地震學×1; 震波×1; 地震×5; 折射×5; 板塊×4; 地質×1
S022,Geophysics_2025_final,GitHub Pages,1,ok,,2,3,1876,35,18.66,0.0,heuristic,5,0,,False,False,地球物理×2; 重力異常×1; 地震波×2; 直達波×1; 地震學×1; 折射波×1; 震波×3; 走時×1; 地震×12; 波速×2; 折射×2; 板塊×4; 截時×1; 地層×2
S006,Geophysics_2025_final,Gemini,0,limited,gemini_login_wall,4,2,56,0,0.0,0.0,heuristic,0,2,"iframe,svg",True,False,
S003,Geophysics_2025_final,GitHub Pages,1,ok,,2,3,2185,51,23.34,5.4,heuristic,5,0,,False,False,refraction×1; 地球物理×8; 重力異常×1; 直達波×1; 地震學×1; 折射波×2; 司乃耳×1; 震波×1; 走時×2; 地函×1; 地震×9; 斷層×1; 波速×3; 介質×1; 震源×1; 折射×5; 板塊×6; 地質×2; 地層×2; 防災×2
S016,Geophysics_2025_final,GitHub Pages,2,ok,,2,3,3073,69,22.45,5.4,heuristic,6,0,,False,False,地球物理×6; 重力異常×3; 直達波×3; 走時圖×5; 折射波×3; 走時×9; 地震×14; 波速×1; 震源×4; 折射×3; 板塊×15; 地質×1; 地層×2
S010,Geophysics_2025_final,GitHub Pages,1,ok,,1,3,462,13,28.14,0.0,heuristic,0,0,,False,False,地球物理×6; 地震波×1; 震波×1; 地震×2; 折射×1; 板塊×1; 地質×1
S001,Geophysics_2025_final,GitHub Pages,1,ok,,1,3,7511,133,17.71,7.8,heuristic,0,0,,False,False,seismic×2; 地球物理×9; 重力異常×1; 地震波×2; 直達波×3; 地震學×5; 折射波×9; 司乃耳×1; 震波×5; 走時×9; 地函×6; 地震×30; 斷層×4; 地核×4; 波速×1; 震源×4; 反射×1; 折射×11; 震央×2; 板塊×16
S013,Geophysics_2025_final,GitHub Pages,0,ok,,3,2,142,2,14.08,0.0,heuristic,0,1,canvas,False,False,地球物理×2
S002,Geophysics_2025_final,GitHub Pages,0,ok,,1,3,1291,25,19.36,11.1,heuristic,0,0,,False,False,地球物理×3; 地震波×2; 地震學×2; 折射波×1; 震波×2; 走時×1; 地震×8; 波速×1; 折射×2; 板塊×2; 地質×1
S009,Geophysics_2025_final,GitHub Pages,1,limited,spa_js_bundle,1,2,22,0,0.0,0.0,too_short,0,0,,False,False,
S014,Geophysics_2025_final,Gemini,1,limited,gemini_login_wall,4,2,56,0,0.0,0.0,heuristic,0,2,"iframe,svg",True,False,
S021,Geophysics_2025_final,Streamlit,0,limited,streamlit_js_shell,1,2,0,0,0.0,0.0,too_short,0,0,,False,False,
S011,Geophysics_2025_final,GitHub Pages,0,ok,,4,3,4859,62,12.76,30.4,heuristic,13,4,iframe,False,False,refraction×1; seismic×1; 地球物理×6; 重力異常×1; 地震波×2; 直達波×2; 地震學×1; 折射波×3; 震波×3; 走時×1; 地函×1; 地震×12; 斷層×3; 波速×3; 震源×2; 折射×5; 板塊×10; 地質×2; 防災×3
S007,Geophysics_2025_final,GitHub Pages,0,ok,,1,3,817,17,20.81,0.0,heuristic,0,0,,False,False,地球物理×5; 地震學×1; 地震×3; 折射×2; 板塊×4; 地質×1; 地層×1
S017,Geophysics_2025_final,GitHub Pages,1,ok,,1,3,1301,37,28.44,0.0,heuristic,0,0,,False,False,地球物理×5; 重力異常×2; 地震波×2; 地震學×1; 震波×2; 地震×9; 折射×6; 板塊×9; 地質×1
S004,Geophysics_2025_final,Gemini,0,limited,gemini_login_wall,4,2,56,0,0.0,0.0,heuristic,0,2,"iframe,svg",True,False,
S005,Geophysics_2025_final,GitHub Pages,0,ok,,4,3,2355,90,38.22,24.2,heuristic,0,4,"canvas,svg",False,False,reflection×1; refraction×1; seismic×1; 地球物理×15; 地震波×5; 直達波×3; 地震學×1; 折射波×3; 震波×7; 走時×1; 地函×1; 地震×22; 斷層×4; 介質×1; 折射×7; 板塊×11; 地質×3; 地層×1; 防災×2
