匿名代碼,學期,平台,附件數,狀態,媒體豐富度(1-4),排版架構(1-4),總字數,專有名詞出現次數,專有名詞密度(次/千字),批判思考佔比(%),反思評量方法,img數,互動元件數,互動標籤,進階腳本,動態API,命中專有名詞
S015,Seismology_2026_final,Hugging Face Space,2,ok,2,3,3955,131,33.12,10.2,heuristic,19,0,,False,False,Antigravity×1; refraction×1; 地球物理×2; 震源機制×7; 表面波×1; 直達波×1; 地震波×5; 反射波×1; 地震學×13; 規模×2; 波速×1; 地震×41; 走時×2; 反射×4; 體波×1; 斷層×14; 折射×3; 介質×2; 震波×6; 震源×12
S020,Seismology_2026_final,GitHub Pages,0,ok,2,3,1546,17,11.0,33.3,heuristic,3,5,svg,False,False,reflection×1; 地震×12; 震波×1; 震度×3
S012,Seismology_2026_final,GitHub Pages,0,ok,3,2,394,17,43.15,0.0,heuristic,0,1,iframe,False,False,震源機制×2; 地震學×6; 地震×7; 震源×2
S022,Seismology_2026_final,GitHub Pages,4,ok,4,3,6802,62,9.11,18.2,heuristic,0,2,iframe,False,False,seismic×1; 震源機制×2; 地震學×14; 地震×34; 走時×2; 反射×1; 斷層×1; 折射×1; 震波×3; 震源×2; 震度×1
S006,Seismology_2026_final,Hugging Face Space,2,ok,4,2,6902,137,19.85,17.2,heuristic,20,22,"canvas,video",True,False,震源機制×6; 直達波×1; 地震波×4; 反射波×1; 地震學×5; 防災×1; 規模×1; 地函×3; 波速×3; 地震×52; 走時×7; 反射×1; P波×5; 斷層×19; 折射×1; 介質×1; S波×1; 震波×5; 震源×12; 地質×1
S003,Seismology_2026_final,GitHub Pages,2,ok,2,3,4315,69,15.99,15.0,heuristic,6,0,,False,False,seismic×3; 震源機制×5; 地震波×2; 地震學×5; 防災×1; 規模×1; 波速×1; 地震×18; 走時×2; 體波×2; 斷層×4; 震波×3; 震源×10; 震度×6; 液化×1; 地質×1; 板塊×4
S003,Seismology_2026_final,Hugging Face Space,2,ok,2,3,4316,69,15.99,15.0,heuristic,6,0,,False,False,seismic×3; 震源機制×5; 地震波×2; 地震學×5; 防災×1; 規模×1; 波速×1; 地震×18; 走時×2; 體波×2; 斷層×4; 震波×3; 震源×10; 震度×6; 液化×1; 地質×1; 板塊×4
S024,Seismology_2026_final,GitHub Pages,2,ok,4,3,2150,74,34.42,18.8,heuristic,6,3,video,False,False,Antigravity×2; 震源機制×4; 地震波×5; 地震學×9; 防災×2; 規模×1; 地震×35; 走時×1; P波×1; 斷層×3; S波×1; 震波×5; 震源×5
S024,Seismology_2026_final,Hugging Face Space,2,ok,4,3,2150,74,34.42,18.8,heuristic,6,3,video,False,False,Antigravity×2; 震源機制×4; 地震波×5; 地震學×9; 防災×2; 規模×1; 地震×35; 走時×1; P波×1; 斷層×3; S波×1; 震波×5; 震源×5
S016,Seismology_2026_final,GitHub Pages,2,ok,4,3,2527,39,15.43,9.4,heuristic,0,2,"canvas,video",False,False,震源機制×1; 地震學×4; 規模×1; 地震×19; 斷層×11; 震源×1; 震度×1; 板塊×1
S016,Seismology_2026_final,Hugging Face Space,2,ok,4,3,164,12,73.17,0.0,heuristic,4,2,svg,True,False,震源機制×2; 地震學×1; 地震×5; 斷層×2; 震源×2
S010,Seismology_2026_final,GitHub Pages,6,ok,4,2,1808,49,27.1,4.8,heuristic,4,9,"iframe,svg",False,False,Antigravity×1; 震源機制×6; 地震波×1; 地震學×11; 地震×21; 走時×1; 震波×1; 震源×7
