匿名代碼,平台,媒體豐富度(1-4),排版架構(1-4),總字數,專有名詞密度(次/千字),批判思考佔比(%),附件數,狀態
S015,Hugging Face Space,2,3,3955,33.12,10.2,2,ok
S020,GitHub Pages,4,3,1546,11.0,33.3,0,ok
S012,GitHub Pages,3,2,394,43.15,0.0,0,ok
S022,GitHub Pages,4,3,6802,9.11,18.2,4,ok
S006,Hugging Face Space,4,2,6902,19.85,17.2,2,ok
S003,GitHub Pages,2,3,4315,15.99,15.0,2,ok
S024,GitHub Pages,4,3,2150,34.42,18.8,2,ok
S016,GitHub Pages,4,3,2527,15.43,9.4,2,ok
S010,GitHub Pages,4,2,1808,27.1,4.8,6,ok
S013,GitHub Pages,3,3,5195,18.09,21.4,2,ok
S002,GitHub Pages,4,3,1588,41.56,9.1,2,ok
S009,Hugging Face Space,4,3,1218,28.74,16.7,4,ok
S014,Hugging Face Space,4,3,6066,16.32,11.1,2,ok
S021,GitHub Pages,3,3,507,51.28,12.5,2,ok
S011,Hugging Face Space,4,3,5087,26.54,4.3,2,ok
S007,GitHub Pages,2,3,4053,42.68,16.7,0,ok
S017,GitHub Pages,4,3,3361,31.54,8.3,2,ok
S018,Hugging Face Space,4,3,13091,21.54,7.6,2,ok
