匿名代碼,學期,平台,附件數,狀態,抓取限制,媒體豐富度(1-4),排版架構(1-4),總字數,專有名詞出現次數,專有名詞密度(次/千字),批判思考佔比(%),反思評量方法,img數,互動元件數,互動標籤,進階腳本,動態API,命中專有名詞,JS互動補正,JS排版補正,組別
S022,Seismology_2026_HW2,,0,ok,,3,3,3603,138,38.3,8.4,heuristic,13,0,,False,False,seismic×6; 地震學×8; 地震波×14; 表面波×3; 地震×56; 震度×1; 液化×3; 波速×1; 地核×2; 斷層×7; P波×1; 震波×14; 地質×3; 防災×1; 震央×2; 板塊×2; 體波×1; 折射×1; 走時×1; 介質×1,True,False,上學期作品名單內
S006,Seismology_2026_HW2,,0,ok,,3,3,10607,215,20.27,7.0,heuristic,0,0,,False,False,reflection×1; seismic×21; STEM×1; 反射波×2; 地震學×9; 地震波×8; 表面波×7; 地震×62; 震度×3; 液化×2; 波速×4; 地核×4; 斷層×13; P波×5; 震波×20; 地質×2; 板塊×4; 體波×4; 地函×3; 走時×2,True,True,上學期作品名單內
S003,Seismology_2026_HW2,,0,ok,,2,3,4471,178,39.81,9.2,heuristic,13,0,,False,False,seismic×8; 地下構造×1; 地震學×17; 地震波×9; 表面波×10; 地震×61; 液化×6; 波速×2; 斷層×8; P波×7; 震波×9; 震央×1; 板塊×9; 體波×1; 折射×1; 走時×1; 介質×4; 震源×7; 規模×5; 反射×1,False,False,上學期作品名單內
S016,Seismology_2026_HW2,,0,ok,,3,2,5383,79,14.68,3.5,heuristic,0,0,,False,False,seismic×1; 地震學×8; 地震波×1; 表面波×3; 地震×26; 液化×4; 波速×2; P波×5; 震波×7; 體波×3; 走時×2; 介質×2; 震源×4; 規模×6; S波×5,True,False,上學期作品名單內
S010,Seismology_2026_HW2,,0,ok,,4,3,1362,60,44.05,10.3,heuristic,0,3,canvas,False,False,S-wave×1; 震源機制×1; 地震學×7; 地震波×4; 地震×23; 液化×1; 地核×1; 震波×5; 防災×1; 地層×5; 地函×1; 介質×3; 震源×3; 規模×4,False,False,上學期作品名單內
S001,Seismology_2026_HW2,,0,ok,,4,2,4788,201,41.98,6.7,heuristic,0,0,,True,False,seismic×2; 震源機制×1; 反射波×4; 地震學×18; 地震波×12; 表面波×2; 地震×70; 液化×5; 波速×3; 地核×5; 斷層×6; P波×2; 震波×14; 防災×1; 板塊×12; 體波×1; 地層×1; 地函×6; 走時×1; 介質×6,False,False,上學期作品名單內
S013,Seismology_2026_HW2,,0,ok,,4,2,5420,95,17.53,20.9,heuristic,0,0,,True,False,seismic×1; P-wave×2; S-wave×2; 地震學×7; 地震波×2; 表面波×4; 地震×37; 震度×2; 液化×4; 斷層×12; 震波×2; 板塊×6; 折射×2; 規模×6; 反射×6,False,False,上學期作品名單內
S002,Seismology_2026_HW2,,0,ok,,4,3,4805,171,35.59,11.1,heuristic,13,4,svg,True,False,seismic×5; 地下構造×1; 地震學×11; 地震波×14; 表面波×2; 地震×67; 震度×2; 液化×4; 波速×4; 地核×1; 斷層×9; 震波×14; 地質×1; 防災×2; 板塊×3; 體波×1; 折射×1; 地層×2; 地函×3; 介質×5,False,False,上學期作品名單內
S009,Seismology_2026_HW2,,2,ok,,3,3,5753,98,17.03,12.3,heuristic,0,0,,False,False,reflection×1; seismic×5; 地震學×3; 地震波×3; 表面波×9; 地震×31; 液化×5; 波速×4; 斷層×8; 震波×7; 防災×2; 板塊×3; 體波×5; 走時×1; 介質×2; 震源×5; 規模×3; 反射×1,True,True,上學期作品名單內
S014,Seismology_2026_HW2,,0,ok,,2,3,6542,203,31.03,6.1,heuristic,0,10,svg,False,False,seismic×7; 反射波×2; 地震學×18; 地震波×6; 表面波×5; 地震×74; 震度×1; 液化×4; 波速×3; 地核×3; 斷層×10; P波×3; 震波×21; 地質×1; 防災×1; 震央×1; 板塊×5; 體波×1; 折射×2; 地層×1,False,False,上學期作品名單內
S021,Seismology_2026_HW2,,0,ok,,2,3,3438,165,47.99,2.9,heuristic,13,0,,False,False,seismic×6; 地球物理×1; 地震學×12; 地震波×12; 表面波×2; 地震×74; 液化×3; 地核×2; 斷層×12; P波×4; 震波×12; 防災×2; 震央×1; 板塊×4; 體波×1; 折射×1; 地函×2; 震源×4; 規模×7; 反射×1,False,False,上學期作品名單內
S011,Seismology_2026_HW2,,0,ok,,2,3,9192,240,26.11,5.7,heuristic,13,7,svg,False,False,refraction×1; seismic×10; P-wave×4; S-wave×2; 震源機制×2; 地球物理×3; STEM×1; 反射波×1; 地震學×18; 司乃耳×2; 地震波×4; 表面波×9; 地震×75; 液化×4; 波速×4; 地核×3; 斷層×15; P波×1; 震波×4; 地質×5,False,False,上學期作品名單內
S007,Seismology_2026_HW2,,0,ok,,3,3,1349,50,37.06,13.0,heuristic,0,1,canvas,False,False,seismic×3; 地震學×7; 地震波×1; 表面波×1; 地震×19; 液化×1; 地核×1; 斷層×2; P波×1; 震波×3; 體波×1; 折射×1; 地函×1; 介質×2; 震源×2; 規模×2; S波×2,False,False,上學期作品名單內
S017,Seismology_2026_HW2,,0,ok,,3,3,3461,64,18.49,16.0,heuristic,0,0,,False,False,seismic×1; 地震學×8; 地震波×2; 表面波×2; 地震×24; 震度×2; 液化×1; 波速×1; 斷層×2; P波×1; 震波×2; 地質×1; 防災×1; 震央×1; 板塊×1; 地層×4; 走時×1; 介質×3; 震源×6,True,False,上學期作品名單內
S015,Seismology_2026_HW2,,0,ok,,3,3,5428,154,28.37,9.0,heuristic,13,0,,False,False,reflection×1; refraction×1; seismic×7; 震源機制×2; 地震學×13; 地震波×6; 表面波×6; 地震×52; 震度×3; 液化×2; 波速×2; 地核×1; 斷層×7; P波×8; 震波×7; 地質×3; 板塊×2; 體波×1; 折射×1; 地層×1,True,False,未見於上學期作品名單
S023,Seismology_2026_HW2,,0,ok,,2,2,3726,133,35.7,4.9,heuristic,0,4,svg,False,False,seismic×11; 反射波×1; 地震學×9; 地震波×5; 表面波×7; 地震×39; 液化×3; 波速×2; 地核×2; 斷層×11; P波×5; 震波×9; 地質×1; 防災×2; 板塊×2; 體波×2; 折射×3; 地函×1; 介質×1; 震源×3,False,False,未見於上學期作品名單
S020,Seismology_2026_HW2,,1,ok,,3,3,2259,67,29.66,7.4,heuristic,0,0,,False,False,地球物理×1; 地震學×16; 地震波×4; 地震×29; 液化×4; 波速×3; 斷層×2; 震波×4; 地質×1; 地層×2; 介質×1,True,True,未見於上學期作品名單
S012,Seismology_2026_HW2,,0,ok,,3,2,5294,180,34.0,9.9,heuristic,8,1,svg,False,False,seismic×5; 地震學×16; 地震波×15; 表面波×1; 地震×87; 震度×2; 液化×4; 波速×2; 地核×3; 斷層×4; P波×2; 震波×15; 防災×1; 板塊×2; 折射×3; 地層×3; 地函×2; 介質×1; 規模×7; 反射×3,False,False,未見於上學期作品名單
S024,Seismology_2026_HW2,,0,ok,,3,3,1764,71,40.25,1.9,heuristic,0,1,svg,False,False,seismic×3; 地震學×7; 地震波×2; 表面波×1; 地震×36; 液化×2; 地核×2; 斷層×3; 震波×2; 板塊×2; 地函×2; 走時×1; 介質×3; 震源×4; 規模×1,False,False,未見於上學期作品名單
S018,Seismology_2026_HW2,,0,ok,,2,3,1148,60,52.26,8.7,heuristic,6,0,,False,False,地震學×9; 司乃耳×1; 地震波×3; 地震×22; 波速×2; 震波×3; 板塊×7; 體波×1; 折射×1; 地層×2; 地函×2; 走時×1; 介質×2; 震源×3; 規模×1,False,False,未見於上學期作品名單
