匿名代碼,組別,媒體_變化,排版_變化,字數_變化,術語密度_變化,批判思考_變化
S002,上學期作品名單內,0,0,-3217,5.969999999999999,-2.0
S003,上學期作品名單內,0,0,-156,-23.82,5.800000000000001
S006,上學期作品名單內,1,-1,-3705,-0.41999999999999815,10.2
S007,上學期作品名單內,-1,0,2704,5.619999999999997,3.6999999999999993
S009,上學期作品名單內,1,0,-4535,11.709999999999997,4.399999999999999
S010,上學期作品名單內,0,-1,446,-16.949999999999996,-5.500000000000001
S011,上學期作品名單內,0,0,-4105,0.4299999999999997,-1.4000000000000004
S013,上學期作品名單內,-1,1,-225,0.5599999999999987,0.5
S014,上學期作品名單內,0,0,-476,-14.71,5.0
S016,上學期作品名單內,1,1,-2856,0.75,5.9
S017,上學期作品名單內,1,0,-100,13.05,-7.699999999999999
S021,上學期作品名單內,1,0,-2931,3.289999999999999,9.6
S022,上學期作品名單內,1,0,3199,-29.189999999999998,9.799999999999999
S012,未見於上學期作品名單,0,0,-4900,9.149999999999999,-9.9
S015,未見於上學期作品名單,-1,0,-1473,4.7499999999999964,1.1999999999999993
S018,未見於上學期作品名單,2,0,11943,-30.72,-1.0999999999999996
S020,未見於上學期作品名單,1,0,-713,-18.66,25.9
S024,未見於上學期作品名單,1,0,386,-5.829999999999998,16.900000000000002
